Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num,Type #,Hour,DayOfWeek
2024-01-03 07:57:00,MORRAINE VIEW DR,100% IN VIOLATION,V6428D,067 SCHOOL ZONE 7:30A-4:30P,24P2000001,1,067,7,Wednesday
2024-01-03 07:59:00,MORRAINE VIEW DR,100% IN VIOLATION,AVW5907,067 SCHOOL ZONE 7:30A-4:30P,24P2000002,2,067,7,Wednesday
2024-01-03 08:06:00,MORRAINE VIEW DR,PLATES EXPIRED,V6428D,050 UNREG.VEH/IMPROPER DISPLAY,24P2000003,3,050,8,Wednesday
2024-01-03 08:35:00,WESTWARD WAY,LIC PLATES NOT DISPLAYED,Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P2000004,4,050,8,Wednesday
2024-01-04 07:42:00,MORRAINE VIEW DR,100% IN VIOLATION,APA8529,067 SCHOOL ZONE 7:30A-4:30P,24P2000005,5,067,7,Thursday
2024-01-04 13:18:00,SCHROEDER RD,NO PARKING HERE TO CORNER W/ARROW.100 %,UJ9344,075 RESTRICTED BY SIGNS,24P2000006,6,075,13,Thursday
2024-01-04 13:28:00,CAMERON DR,9 INCHES FROM VISIBLE PAINTED CROSSWALK,KJ3338,074 LESS 15' OF CROSSWALK,24P2000007,7,074,13,Thursday
2024-01-05 09:21:00,WESTWARD WAY,CHALKED/NOTED 1/3/24 825AM,Not Found,004 STREET STORAGE(48 HR LIMIT),24P2000008,8,004,9,Friday
2024-01-08 07:25:00,KESSEL CT,100% IN VIOLATION,W4601P,046 NO PARKING ANYTIME,24P2000009,9,046,7,Monday
2024-01-08 07:58:00,MORRAINE VIEW DR,100% IN VIOLATION,AVW5907,067 SCHOOL ZONE 7:30A-4:30P,24P2000010,10,067,7,Monday
2024-01-08 08:09:00,MORRAINE VIEW DR,"LIC PLATES NOT DISPLAYED, VEH NOT REGISTERED",Not Found,050 UNREG.VEH/IMPROPER DISPLAY,24P2000011,11,050,8,Monday
2024-01-08 09:46:00,PRAIRIE RD,CHALKED/NOTED 1/4/24 245AM,UB1583,TOW TOW FEE,24P2000012,12,TOW,9,Monday
2024-01-08 09:46:00,PRAIRIE RD,CHALKED/NOTED 1/4/24 245AM,UB1583,036 ABANDONMENT 48 HRS-PUB/PRIV,24P2000013,13,036,9,Monday
2024-01-08 10:26:00,WESTWARD WAY,CHALKED/NOTED 1/3/24 825AM,Not Found,TOW TOW FEE,24P2000014,14,TOW,10,Monday
2024-01-08 10:26:00,WESTWARD WAY,CHALKED/NOTED 1/3/24 825AM,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P2000015,15,036,10,Monday
2024-01-08 10:49:00,HIGH POINT RD,CHALKED/NOTED 1/5/24 1114AM,ARV6489,004 STREET STORAGE(48 HR LIMIT),24P2000016,16,004,10,Monday
2024-01-10 12:47:00,KESSEL CT,CHALKED/NOTED 1/8/24 1237PM,ATJ8130,004 STREET STORAGE(48 HR LIMIT),24P2000017,17,004,12,Wednesday
2024-01-10 13:07:00,KESSEL CT,CHALKED/NOTED 1/8/24 1237PM,ACG6496,004 STREET STORAGE(48 HR LIMIT),24P2000018,18,004,13,Wednesday
2024-01-10 13:12:00,KESSEL CT,LIC PLATES EXPIRED 4/22,ACG6496,050 UNREG.VEH/IMPROPER DISPLAY,24P2000019,19,050,13,Wednesday
