Date Issue,Location,Comment,License Plate,Type,Ticket #,Tick_Num,Type #,Hour,DayOfWeek
2024-01-02 11:30:00,PENNSYLVANIA AVE,APPROXIMATELY 5 FEET FROM CROSSWALK,AH7274,074 LESS 15' OF CROSSWALK,24P1800001,1,074,11,Tuesday
2024-01-02 13:09:00,STRAUBEL ST,VEHICLE WAS CHALKED AND NOTED DECEMBER 29TH 2023 1:30 P.M.,AVL7030,004 STREET STORAGE(48 HR LIMIT),24P1800002,2,004,13,Tuesday
2024-01-03 09:11:00,5TH STREET,NO PARKING 9:00 A.M. TO 4:30 P.M. ON SCHOOL DAYS,AGC2716,047 NO PARKING SPECIFIED TIMES,24P1800003,3,047,9,Wednesday
2024-01-03 10:24:00,4TH STREET,60% IN VIOLATION,ATV2351,033 NO PARKING- YELLOW PAINT ON CURB,24P1800004,4,033,10,Wednesday
2024-01-03 12:31:00,RIDGEWAY AVE,NO PARKING IN THIS CIRCLE,UJ3182,075 RESTRICTED BY SIGNS,24P1800005,5,075,12,Wednesday
2024-01-03 12:33:00,RIDGEWAY AVE,NO PARKING IN THIS CIRCLE,ARY5457,075 RESTRICTED BY SIGNS,24P1800006,6,075,12,Wednesday
2024-01-04 10:52:00,DAYTON ST,COMPLAINT PARTIAL IN YELLOW CURVE,TL3652,W033 WARNING - NO PARKING- YELLOW PAINT ON CURB,24P1800007,7,W033,10,Thursday
2024-01-04 11:08:00,5TH STREET,NO PARKING 9:00 A.M. TO 4:30 P.M. ON SCHOOL DAYS,ACL3872,047 NO PARKING SPECIFIED TIMES,24P1800008,8,047,11,Thursday
2024-01-04 11:09:00,5TH STREET,NO PARKING 9:00 A.M. TO 4:30 P.M. ON SCHOOL DAYS,ACL3872,W047 WARNING - NO PARKING SPECIFIED TIMES,24P1800009,9,W047,11,Thursday
2024-01-04 13:04:00,HAVEY RD,VEHICLES TIRES STEMMED JANUARY 2ND 2024 1:00 P.M.,Not Found,TOW TOW FEE,24P1800010,10,TOW,13,Thursday
2024-01-04 13:04:00,HAVEY RD,VEHICLES TIRES STEMMED JANUARY 2ND 2024 1:00 P.M.,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P1800011,11,036,13,Thursday
2024-01-05 08:33:00,CALYPSO RD,SIGNS PROPERLY POSTED,AST9049,083 POSTED PRIVATE OR PUBLIC PROPERTY,24P1800012,12,083,8,Friday
2024-01-05 12:33:00,STRAUBEL ST,STREET STORAGE ISSUED JANUARY 2ND 2024 1:00 P.M.,Not Found,TOW TOW FEE,24P1800013,13,TOW,12,Friday
2024-01-05 12:33:00,STRAUBEL ST,STREET STORAGE ISSUED JANUARY 2ND 2024 1:00 P.M.,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P1800014,14,036,12,Friday
2024-01-05 12:33:00,STRAUBEL ST,STREET STORAGE ISSUED JANUARY 2ND 2024 1:00 P.M.,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P1800014,14,036,12,Friday
2024-01-05 12:33:00,STRAUBEL ST,STREET STORAGE ISSUED JANUARY 2ND 2024 1:00 P.M.,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P1800014,14,036,12,Friday
