Ticket #,Date Issue,Location,Type,Hour,Day
24P0400001,2024-01-02 12:31:00,GILMAN ST,Meter,12,Tuesday
24P0400002,2024-01-02 12:32:00,GILMAN ST,Meter,12,Tuesday
24P0400003,2024-01-02 12:55:00,FRANKLIN ST,006,12,Tuesday
24P0400004,2024-01-02 12:58:00,FRANKLIN ST,006,12,Tuesday
24P0400005,2024-01-02 13:05:00,HANCOCK ST,006,13,Tuesday
24P0400006,2024-01-02 13:07:00,HANCOCK ST,006,13,Tuesday
24P0400007,2024-01-02 13:18:00,FRANKLIN ST,006,13,Tuesday
24P0400008,2024-01-02 13:20:00,FRANKLIN ST,006,13,Tuesday
24P0400009,2024-01-02 13:23:00,FRANKLIN ST,006,13,Tuesday
24P0400010,2024-01-02 13:25:00,FRANKLIN ST,006,13,Tuesday
24P0400011,2024-01-02 13:29:00,FRANKLIN ST,006,13,Tuesday
24P0400012,2024-01-02 13:33:00,HANCOCK ST,Parking,13,Tuesday
24P0400013,2024-01-02 13:37:00,HANCOCK ST,Parking,13,Tuesday
24P0400014,2024-01-02 13:45:00,HANCOCK ST,Parking,13,Tuesday
24P0400015,2024-01-02 13:45:00,HANCOCK ST,TOW,13,Tuesday
24P0400016,2024-01-02 13:56:00,HANCOCK ST,TOW,13,Tuesday
24P0400017,2024-01-02 13:56:00,HANCOCK ST,Parking,13,Tuesday
24P0400018,2024-01-02 14:01:00,HANCOCK ST,Parking,14,Tuesday
24P0400019,2024-01-02 14:06:00,MAIN ST,006,14,Tuesday
24P0400020,2024-01-02 14:15:00,WASHINGTON AVE,Parking,14,Tuesday
24P0400021,2024-01-02 14:17:00,WASHINGTON AVE,Parking,14,Tuesday
24P0400022,2024-01-09 08:43:00,SAINT JAMES CT,048,8,Tuesday
24P0400023,2024-01-09 08:45:00,SAINT JAMES CT,048,8,Tuesday
24P0400024,2024-01-09 08:47:00,SAINT JAMES CT,048,8,Tuesday
24P0400025,2024-01-09 08:49:00,SAINT JAMES CT,048,8,Tuesday
24P0400026,2024-01-09 08:57:00,MOUND ST,048,8,Tuesday
24P0400027,2024-01-09 09:03:00,MOUND ST,048,9,Tuesday
24P0400028,2024-01-09 09:12:00,MILTON ST,048,9,Tuesday
24P0400029,2024-01-09 09:13:00,MILTON ST,048,9,Tuesday
24P0400030,2024-01-09 09:14:00,MILTON ST,048,9,Tuesday
24P0400031,2024-01-09 09:16:00,MILTON ST,048,9,Tuesday
24P0400032,2024-01-09 09:20:00,DRAKE ST,048,9,Tuesday
24P0400033,2024-01-09 09:25:00,DRAKE ST,048,9,Tuesday
24P0400034,2024-01-09 09:26:00,DRAKE ST,048,9,Tuesday
24P0400035,2024-01-09 09:37:00,EMERALD ST,048,9,Tuesday
24P0400036,2024-01-09 09:38:00,EMERALD ST,048,9,Tuesday
24P0400037,2024-01-09 09:49:00,EMERALD ST,048,9,Tuesday
24P0400038,2024-01-09 09:51:00,EMERALD ST,048,9,Tuesday
24P0400039,2024-01-09 09:54:00,EMERALD ST,048,9,Tuesday
24P0400040,2024-01-09 10:28:00,ERIN ST,048,10,Tuesday
24P0400041,2024-01-09 10:29:00,ERIN ST,048,10,Tuesday
24P0400042,2024-01-09 10:34:00,ERIN ST,048,10,Tuesday
24P0400043,2024-01-09 10:35:00,ERIN ST,048,10,Tuesday
24P0400044,2024-01-09 10:38:00,ERIN ST,048,10,Tuesday
24P0400045,2024-01-09 10:46:00,SPRING ST,048,10,Tuesday
24P0400046,2024-01-09 10:48:00,SPRING ST,048,10,Tuesday
24P0400047,2024-01-09 10:50:00,COLLEGE CT,048,10,Tuesday
24P0400048,2024-01-09 10:52:00,COLLEGE CT,048,10,Tuesday
24P0400049,2024-01-09 10:54:00,COLLEGE CT,048,10,Tuesday
24P0400050,2024-01-09 11:19:00,DRAKE ST,048,11,Tuesday
24P0400051,2024-01-09 11:20:00,DRAKE ST,048,11,Tuesday
24P0400052,2024-01-09 11:33:00,LAKESIDE ST,048,11,Tuesday
24P0400053,2024-01-09 11:35:00,LAKESIDE ST,048,11,Tuesday
24P0400054,2024-01-09 11:36:00,LAKESIDE ST,048,11,Tuesday
24P0400055,2024-01-09 11:51:00,OLIN AVE,048,11,Tuesday
24P0400056,2024-01-09 11:56:00,VAN DEUSEN ST,048,11,Tuesday
24P0400057,2024-01-09 11:57:00,VAN DEUSEN ST,048,11,Tuesday
24P0400058,2024-01-09 11:59:00,VAN DEUSEN ST,048,11,Tuesday
24P0400059,2024-01-10 01:07:00,SPAIGHT ST,TOW,1,Wednesday
